renewal_date,Year,Month,status,SAID,Chan.Prof,calendar_yearmonth,Year_Name,Month_Name,number_of_Cases,number_of_escalation,number_of_parts_used,number_of_single_visit_missed,number_of_response_missed,t,Date
20130801,2013,8,0,1.02E+11,Direct,201308,2013,8,1,0,0,0,0,0,20130801
20130801,2013,8,0,1.02E+11,Indirect,201308,2013,8,1,1,2,0,0,0,20130801
20130801,2013,8,0,1.02E+11,Direct,201308,2013,8,1,0,1,0,0,0,20130801
20130801,2013,8,1,1.02E+11,Direct,201308,2013,8,3,0,3,0,0,0,20130801
20130801,2013,8,0,1.02E+11,Direct,201308,2013,8,1,0,1,0,0,0,20130801
20130801,2013,8,0,1.02E+11,Direct,201308,2013,8,2,0,0,0,0,0,20130801
20130801,2013,8,0,1.02E+11,Direct,201308,2013,8,1,0,0,0,0,0,20130801
20130801,2013,8,0,1.02E+11,Indirect,201308,2013,8,43,0,0,0,0,0,20130801
20130801,2013,8,1,1.02E+11,Direct,201308,2013,8,1,0,0,0,0,0,20130801
20130801,2013,8,0,1.02E+11,Indirect,201308,2013,8,5,0,1,0,0,0,20130801
20130801,2013,8,0,1.02E+11,Direct,201308,2013,8,1,0,0,0,0,0,20130801
20130801,2013,8,0,1.02E+11,Indirect,201308,2013,8,1,0,1,0,0,0,20130801
20130801,2013,8,0,1.02E+11,Indirect,201308,2013,8,2,0,2,0,0,0,20130801
20130801,2013,8,0,1.02E+11,Indirect,201308,2013,8,4,0,6,0,0,0,20130801
20130801,2013,8,0,1.02E+11,Indirect,201308,2013,8,1,0,1,0,0,0,20130801
20130801,2013,8,0,1.02E+11,Indirect,201308,2013,8,1,0,0,0,0,0,20130801
20130801,2013,8,0,1.02E+11,Indirect,201308,2013,8,1,0,0,0,0,0,20130801
20130801,2013,8,0,1.02E+11,Direct,201308,2013,8,1,0,0,0,0,0,20130801
20130801,2013,8,0,1.07E+11,Direct,201308,2013,8,2,0,1,0,0,0,20130801
20130801,2013,8,0,1.07E+11,Direct,201308,2013,8,1,0,0,0,0,0,20130801
20130801,2013,8,0,1.07E+11,Direct,201308,2013,8,1,0,0,0,0,0,20130801
20130801,2013,8,0,1.07E+11,Indirect,201308,2013,8,4,0,4,0,0,0,20130801
20130801,2013,8,0,1.07E+11,Direct,201308,2013,8,1,0,1,0,0,0,20130801
20130801,2013,8,1,1.07E+11,Indirect,201308,2013,8,1,0,1,0,0,0,20130801
20130801,2013,8,0,1.07E+11,Direct,201308,2013,8,2,0,2,0,0,0,20130801
20130801,2013,8,0,1.07E+11,Direct,201308,2013,8,1,0,0,0,0,0,20130801
20140101,2014,1,0,1.07E+11,Direct,201308,2013,8,1,1,0,0,0,5,20130801
20140101,2014,1,0,1.07E+11,Direct,201308,2013,8,1,1,2,0,0,5,20130801
20130801,2013,8,0,1.07E+11,Indirect,201308,2013,8,8,0,0,0,0,0,20130801
20130801,2013,8,1,1.07E+11,Indirect,201308,2013,8,1,0,3,0,0,0,20130801
20130801,2013,8,0,1.07E+11,Indirect,201308,2013,8,2,0,1,0,0,0,20130801
20130801,2013,8,0,1.07E+11,Direct,201308,2013,8,1,0,1,0,0,0,20130801
20130801,2013,8,0,1.07E+11,Direct,201308,2013,8,1,0,0,0,0,0,20130801
20130801,2013,8,1,1.07E+11,Direct,201308,2013,8,13,0,0,0,0,0,20130801
20130801,2013,8,1,1.07E+11,Indirect,201308,2013,8,1,0,1,0,0,0,20130801
20130801,2013,8,0,1.07E+11,Direct,201308,2013,8,2,1,1,0,0,0,20130801
20130801,2013,8,0,1.07E+11,Direct,201308,2013,8,5,0,0,0,0,0,20130801
20130801,2013,8,0,1.07E+11,Indirect,201308,2013,8,1,0,1,0,0,0,20130801
20130801,2013,8,0,1.07E+11,Indirect,201308,2013,8,1,0,0,0,0,0,20130801
20130801,2013,8,0,1.07E+11,Indirect,201308,2013,8,1,0,0,0,0,0,20130801
20130801,2013,8,0,1.07E+11,Direct,201308,2013,8,1,0,0,0,0,0,20130801
20130801,2013,8,0,1.07E+11,Direct,201308,2013,8,2,0,1,0,0,0,20130801
20130801,2013,8,0,1.07E+11,Indirect,201308,2013,8,1,0,0,0,0,0,20130801
20130801,2013,8,1,1.07E+11,Direct,201308,2013,8,3,0,0,0,0,0,20130801
20130801,2013,8,1,1.07E+11,Direct,201308,2013,8,1,0,1,0,0,0,20130801
20130801,2013,8,0,1.07E+11,Direct,201308,2013,8,1,0,0,0,0,0,20130801
20130801,2013,8,1,1.07E+11,Direct,201308,2013,8,1,0,2,0,0,0,20130801
20130801,2013,8,0,1.07E+11,Indirect,201308,2013,8,1,0,0,0,0,0,20130801
20130801,2013,8,0,1.07E+11,Direct,201308,2013,8,1,0,1,0,0,0,20130801
20130801,2013,8,0,1.07E+11,Indirect,201308,2013,8,4,0,5,0,0,0,20130801
20130801,2013,8,1,1.07E+11,Indirect,201308,2013,8,9,0,1,0,0,0,20130801
20130801,2013,8,0,1.07E+11,Direct,201308,2013,8,1,0,1,0,0,0,20130801
20130801,2013,8,0,1.07E+11,Direct,201308,2013,8,1,0,1,0,0,0,20130801
20130801,2013,8,0,1.07E+11,Indirect,201308,2013,8,1,1,1,0,0,0,20130801
20130801,2013,8,0,1.07E+11,Indirect,201308,2013,8,1,0,1,0,0,0,20130801
20130801,2013,8,0,1.07E+11,Indirect,201308,2013,8,1,0,0,0,0,0,20130801
20130801,2013,8,0,1.07E+11,Direct,201308,2013,8,2,0,1,0,0,0,20130801
20130801,2013,8,0,1.07E+11,Direct,201308,2013,8,2,0,0,0,0,0,20130801
20130801,2013,8,0,1.07E+11,Indirect,201308,2013,8,1,0,3,1,0,0,20130801
20130801,2013,8,0,1.07E+11,Indirect,201308,2013,8,48,0,2,0,1,0,20130801
20130801,2013,8,0,1.07E+11,Direct,201308,2013,8,1,0,0,0,0,0,20130801
20130801,2013,8,0,1.07E+11,Indirect,201308,2013,8,1,0,0,0,0,0,20130801
20130801,2013,8,0,1.07E+11,Direct,201308,2013,8,3,0,1,0,0,0,20130801
