renewal_date,status,SAID,Chan.Prof
20130501,Converted,101318541038,Direct
20130601,Loss,101368799128,Direct
20130601,Loss,102254215870,Direct
20130601,Loss,102274104936,Direct
20130601,Loss,102274105019,Direct
20130601,Converted,102274105189,Direct
20130601,Loss,102274096332,Direct
20130601,Loss,102274096562,Direct
20130601,Loss,102274097805,Direct
20130601,Loss,102274351391,Direct
20130601,Loss,102274351451,Direct
20130601,Loss,102274351511,Direct
20130601,Loss,102258682657,Direct
20130601,Loss,102258211113,Direct
20130601,Loss,102274743984,Direct
20130601,Loss,102274744707,Direct
20130601,Loss,102256607485,Direct
20130601,Converted,102257086338,Direct
20130601,Loss,102274743300,Direct
20130601,Loss,102274743524,Direct
20130601,Loss,102259423981,Direct
20130601,Converted,102274104876,Direct
20130601,Loss,102274984535,Direct
20130601,Loss,102274984601,Direct
20130601,Converted,102274984765,Direct
20130601,Loss,102256055608,Direct
20130601,Converted,102259424064,Direct
20130401,Loss,102265133340,Indirect
20130417,Loss,102288630677,Indirect
20130417,Converted,102288630737,Indirect
20130417,Loss,102288635870,Indirect
20130417,Loss,102288635930,Indirect
20130417,Loss,102288636013,Indirect
20130417,Loss,102288636183,Indirect
20130323,Loss,102297941500,Indirect
20130323,Loss,102297958184,Indirect
20130323,Loss,102297997273,Indirect
20130419,Loss,102312231670,Indirect
20130419,Loss,102312272604,Indirect
20130701,Loss,102318979902,Unknown
20130422,Loss,102323353886,Direct
20130422,Loss,102323354029,Direct
20130422,Loss,102323354199,Direct
20130422,Loss,102323354259,Direct
20130601,Loss,102334202006,Direct
20130401,Converted,102323542334,Indirect
20130401,Loss,102335133201,Indirect
20130611,Loss,103316834928,Indirect
20130611,Loss,103316839021,Indirect
20130501,Loss,101671797250,Indirect
20130501,Converted,101681333005,Indirect
20130501,Loss,101688675803,Direct
20130601,Loss,101690575879,Direct
20130501,Loss,101691296319,Direct
20130601,Loss,101786425909,Indirect
20130401,Loss,101696903793,Indirect
20130801,Converted,101700875806,Indirect
20130714,Loss,101702118950,Direct
20130401,Loss,101716051659,Indirect
