calendar_yearmonth,Year_Name,Month_Name,SAID,number_of_Cases,number_of_escalation,number_of_parts_used,number_of_single_visit_missed,number_of_response_missed
201202,2012,2,102378111031,1,0,0,0,0
201207,2012,7,102378111031,1,0,0,0,0
201201,2012,1,102378111031,1,1,0,0,0
201210,2012,10,102379259014,2,0,2,0,0
201202,2012,2,102379259014,1,0,0,0,0
201205,2012,5,102378111031,1,0,1,0,0
201209,2012,9,102379259014,3,0,3,0,0
201208,2012,8,107607423340,2,0,1,0,0
201210,2012,10,107612362197,1,0,0,0,0
201206,2012,6,107613308231,1,0,1,0,0
201210,2012,10,107614719723,2,0,1,0,0
201208,2012,8,107613312250,3,0,0,0,0
201208,2012,8,107614719723,4,0,0,0,0
201205,2012,5,102337806302,1,0,1,1,0
201207,2012,7,107614719723,1,0,0,0,0
201208,2012,8,107627523830,1,0,0,0,0
201203,2012,3,102407545879,1,0,0,0,0
201207,2012,7,107602523343,1,0,1,0,0
201205,2012,5,102445010730,2,0,4,1,0
201208,2012,8,102407545879,1,1,2,0,0
201207,2012,7,102395938636,3,0,1,0,0
201202,2012,2,102121746990,3,0,0,0,0
201206,2012,6,102121746990,2,0,2,0,0
201210,2012,10,102121746990,2,0,1,0,0
201112,2011,12,102395042101,6,0,0,0,0
201209,2012,9,102395653129,1,0,1,0,0
201203,2012,3,102394790090,1,0,0,0,0
201206,2012,6,107554591548,4,2,4,1,0
201208,2012,8,102395967106,4,0,1,0,0
201201,2012,1,102412954430,1,0,1,0,0
201204,2012,4,102390923972,1,0,0,0,0
201210,2012,10,107551400275,5,0,0,0,0
201203,2012,3,102255784268,2,0,0,0,0
201209,2012,9,102255784268,1,0,2,0,0
201111,2011,11,102397150941,1,0,0,0,0
201111,2011,11,102390923972,6,0,1,0,0
201209,2012,9,102397150941,5,0,7,0,0
201203,2012,3,102397150941,1,1,0,0,0
201209,2012,9,102412731635,1,0,0,0,0
201208,2012,8,102397150941,3,1,1,0,0
201203,2012,3,107553708913,1,0,2,0,0
201208,2012,8,102390923972,3,0,1,0,0
201205,2012,5,107554607953,9,0,9,0,0
201203,2012,3,102405408575,7,0,2,0,0
